y,XA6,E2,FIE4,TB4,CE8,D7
1,0.037656805,70,0.162793773,0.323960781,0.084310429,7923.333334
0,0.028284444,70,0.141274673,0.423533014,0.096654027,7834.909099
0,0.056485207,70,0.165613362,0.162468403,0.090711705,7415.4
0,0.064938776,70,0.152899931,0.151866107,0.1020474,7569.310339
1,0.083638564,70,0,0.37484764,0.106480188,7271.272735
1,0.07955,70,0,0.265393319,0.105325182,7282.4
1,0.078567901,70,0.237725634,0.236782719,0.109604733,7431.272735
0,0.044194445,70,0.180975308,0.353350251,0.097139466,7190.857129
1,0.032469388,70,0.154657902,0.455179405,0.100373425,7269.454553
0,0.0994375,70,0,0.265179852,0.098704677,7406.000006
1,0.078567901,70,0.238728541,0.235459202,0.096837794,7521.538469
1,0.037656805,70,0.329551417,0.325716961,0.094899115,7620.571427
1,0.064938776,70,0.305215148,0.302207665,0.092958467,7706.399994
1,0.06364,70,0.21504077,0.212036542,0.09679891,7319.83334
1,0.016991812,70,0.201701824,0,0.093555059,7362.461546
1,0.026297521,70,0.197192609,0,0.108257268,7364.545462
1,0.037835909,70,0.186445838,0,0.105418577,7270.545462
1,0.032068531,70,0.172839422,0,0.096060243,7258.666673
1,0.032068531,70,0.260538576,0,0.09225922,7249.538469
0,0.032068531,70,0.168194662,0,0.091087312,7704.266661
0,0.044194445,70,0.175962458,0,0.08897737,7779
1,0.023535503,70,0.208907762,0,0.108438116,7182.857153
1,0.043648834,70,0.204323547,0,0.10415108,6924.688531
1,0.052595041,70,0.198573699,0,0.110335637,7044.923084
1,0.060880102,70,0.196494485,0,0.112655053,6853.235313
1,0.068556479,70,0.193950181,0,0.113909738,6734.571435
1,0.075671819,70,0.191860137,0,0.115434269,6568.767107
1,0.082269463,70,0.189383484,0,0.116249201,6465.599985
1,0.045113422,70,0.244314613,0,0.117220407,6320.769222
1,0.055243056,70,0.234987187,0,0.117724568,6230.25
1,0.06364,70,0.218992475,0,0.11117338,6979.090928
1,0.070606509,70,0.217848503,0,0.118217702,6123.272719
0,0.076385459,70,0.197006068,0,0.088349526,7726.4
1,0.088388889,70,0.183127126,0,0.107930463,6888.666675
1,0.099334027,70,0.179486443,0,0.112848012,6566.461545
1,0.112970414,70,0.167920226,0,0.102652781,7106.4
1,0.123866782,70,0.158135008,0,0.097987797,7405.333339
1,0.129877551,70,0.152746872,0,0.0956117,7520.3077
1,0.135038581,70,0.151614264,0,0.104325458,7209
1,0.141422222,70,0.145078314,0,0.101610047,7105.6
1,0.052595041,70,0.195812792,0,0.104930909,7407.000015
