atomic_radius,atomic_mass,Z,X,number,max_oxidation_state,min_oxidation_state,row,group,atomic_radius_calculated,van_der_waals_radius,mendeleev_no,molar_volume,boiling_point,melting_point,critical_temperature,density_of_solid,average_ionic_radius,average_cationic_radius,average_anionic_radius,lattice_lengthx,lattice_lengthy,lattice_lengthz,lattice_anglesA,lattice_anglesB,lattice_anglesC,com_average_electroneg,com_num_atoms,com_total_electrons,com_weight
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,3.750460522,4.793805134,8.127075691,96.73907621,90.74467199,110.4837424,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,3.795970866,4.703938342,7.951031043,77.88998028,83.43768586,80.68878046,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,5.028918191,5.117256699,6.363582741,111.0480898,98.14304728,107.5179571,2.591111111,18,94,189.7534096
0.207142857,12.16752971,5.857142857,0.846666667,5.857142857,1.285714286,-0.80952381,1.523809524,17.19047619,0.415238095,1.475714286,28.95238095,17.91238095,67.54714286,70.5752381,121.6609524,272.7142857,0.211428571,0.085714286,0.311428571,4.361555816,5.634930024,7.116825771,70.6761718,85.04914124,89.00560237,2.551904762,21,102,203.7799896
0.207142857,12.16752971,5.857142857,0.846666667,5.857142857,1.285714286,-0.80952381,1.523809524,17.19047619,0.415238095,1.475714286,28.95238095,17.91238095,67.54714286,70.5752381,121.6609524,272.7142857,0.211428571,0.085714286,0.311428571,4.6009031,5.708133919,6.80259632,71.43372611,82.61653312,84.22158181,2.551904762,21,102,203.7799896
0.207142857,12.16752971,5.857142857,0.846666667,5.857142857,1.285714286,-0.80952381,1.523809524,17.19047619,0.415238095,1.475714286,28.95238095,17.91238095,67.54714286,70.5752381,121.6609524,272.7142857,0.211428571,0.085714286,0.311428571,4.588025165,5.714872259,6.523084355,73.02796385,82.12697164,88.28135591,2.551904762,21,102,203.7799896
0.207142857,12.16752971,5.857142857,0.846666667,5.857142857,1.285714286,-0.80952381,1.523809524,17.19047619,0.415238095,1.475714286,28.95238095,17.91238095,67.54714286,70.5752381,121.6609524,272.7142857,0.211428571,0.085714286,0.311428571,4.433318436,5.461946203,7.072247963,69.82521248,81.80864591,88.54909088,2.551904762,21,102,203.7799896
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.622720751,5.00506042,6.04581848,88.46929085,86.40950295,95.39265102,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,5.086456986,5.339414127,5.391184647,89.17645862,79.5645954,73.23563699,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.316714555,5.427198388,5.978496457,92.90961886,96.23886183,93.25679021,2.591111111,18,94,189.7534096
