name,element number,lattice constants a,lattice constants b,lattice constants c,atomic radii (empirical),atomic radii (clementi),ionic radii (pauling),ionic radii (shannon),covalent radii,covalent radii (sigle bond),covalent radii (double bond),Van der Waals radius,metal radii (waber),valence electron distance (schubert),core electron distance (schubert),pseudo-potential radii (zunger),first ionization energy,second ionization energy,third ionization energy,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy (Brewer),total energy,electron number,valence electron number,s,p,d,f,effective nuclear charge (slater),effective nuclear charge (clementi),periodic number,group number,electronegativity (martynov&batsanov),electronegativity (pauling),electronegativity (alfred-rochow),modulus compression,thermal conductivity,specific heat,temperature melting,temperature boiling,"atomic volume(villars,daams)","atomic weight(villars,daams)",atomic density,Orbital energy 1s,Orbital energy 2s,Orbital energy 2p,Orbital energy 3s,Orbital energy 3p,Orbital energy 3d,Orbital energy 4s,Orbital energy 4p,Orbital energy 4d,Orbital energy 4f,Orbital energy 5s,Orbital energy 5p,Orbital energy 5d,Orbital energy 5f,Orbital energy 6s,Orbital energy 6p,Orbital energy 6d,Orbital energy 6f,Orbital energy 7s,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals
abbrTex,n,$a$,$b$,$c$,$r_{ae}$,$r_{ac}$,$r_{ip}$,$r_{is}$,$r_{c}$,$r_{csb}$,$r_{cdb}$,$r_{vdw}$,$r_m$,$d_{ve}$,$d_{ce}$,$r_{pp}$,$IE_1$,$IE_2$,$IE_3$,$EA$,$H_a$,$H_v$,$H_f$,$E_{coh}$,$E_{tot}$,$e$,$VEC$,$s$,$p$,$d$,$f$,$N_{cs}$,$N_{cc}$,$N_p$,$N_g$,$\chi_m$,$\chi_p$,$\chi_a$,$E_p$,$T_c$,$H_s$,$T_m$,$T_b$,$V_a$,$m$,$\rho_a$,$OB_{1s}$,$OB_{2s}$,$OB_{2p}$,$OB_{3s}$,$OB_{3p}$,$OB_{3d}$,$OB_{4s}$,$OB_{4p}$,$OB_{4d}$,$OB_{4f}$,$OB_{5s}$,$OB_{5p}$,$OB_{5d}$,$OB_{5f}$,$OB_{6s}$,$OB_{6p}$,$OB_{6d}$,$OB_{6f}$,$OB_{7s}$,$E_{low}$,$E_{low2}$
abbr,n,a,b,c,rae,rac,rip,ris,rc,rcsb,rcdb,rvdw,rm,dve,dce,rpp,IE1,IE2,IE3,EA,Ha,Hv,Hf,Ecoh,Etot,e,VEC,s,p,d,f,Ncs,Ncc,Np,Ng,Xm,Xp,Xa,Ep,Tc,Hs,Tm,Tb,Va,m,rho_a,OB_1s,OB_2s,OB_2p,OB_3s,OB_3p,OB_3d,OB_4s,OB_4p,OB_4d,OB_4f,OB_5s,OB_5p,OB_5d,OB_5f,OB_6s,OB_6p,OB_6d,OB_6f,OB_7s,Elow,Elow2
Te,52,4.4572,4.4572,5.929,1.4,1.23,0.51,0.97,1.38,1.36,1.28,1.99,1.6,1.82,1.24,1.67,9.04,18.668,28.059,1.970875,2.046,1.088,0.182,2.23,3.142,52,6,2,4,0,0,6.95,10.81,5,6,2.38,2.1,2.01,0.23,3,0.201,723,1263,3.394,127.76,6240,179.8319107,17.26178429,16.40859088,33.13750091,28.86686386,0.295801502,5.572902675,4.100085968,1.608383573,0,0.06197003,0.226594109,0,0,0,0,0,0,0,0.062,0.227
I,53,7.1802,4.7102,9.8103,1.4,1.15,0.46,0.95,1.39,1.33,1.29,2.04,1.39,1.69,1.17,1.585,10.487,19.198,33.114,3.0590465,1.111,0.433,0.081,1.11,1.519,53,7,2,5,0,0,7.6,11.61,5,7,2.76,2.66,2.21,0.03,0.449,0.429,387,457.5,4.263,126.904,4940,116.1815028,175.075724,164.6038677,35.24336792,30.831114,22.60070385,6.121312938,4.572524195,1.93817993,0,0.596366286,0.267904129,0,0,0,0,0,0,0,0.268,0.596
Xe,54,6.2023,6.2023,6.2023,,1.08,0.4,,1.4,1.31,1.35,2.06,1.1,1.54,1.1,1.56,12.172,21.278,32.209,-0.83,,0.132,0.024,0.16,,54,8,2,6,0,0,8.25,12.42,5,8,0.05,2.6,,0.02,0.00569,0.15832,161,166.1,6.401,131.293,5.9,120.8787887,183.327583,172.5996658,37.41547268,3.289443579,24.38445171,6.678350406,5.064218431,2.28666717,0,0.672086323,0.309835149,0,0,0,0,0,0,0,0.31,0.672
Cs,55,6.141,6.141,6.141,2.6,2.98,1.65,1.67,2.44,2.32,2.09,3.48,2.731,5.45,1.55,4.31,3.907,23.182,35.121,0.47163,0.791,0.692,0.022,0.8,0.859,55,1,1,0,0,0,2.2,6.36,6,1,0.77,0.79,0.86,0.02,36,0.242,302,951.6,11.579,132.905,1879,13.35639741,191.9819652,18.1313527,39.85161033,35.16643988,2.644053269,7.455970299,5.769328769,2.848387367,0,0.921390443,0.504903242,0,0,0.078699038,0,0,0,0,0.079,0.505
Ba,56,5.028,5.028,5.028,2.15,2.53,1.26,1.35,2.15,1.96,1.61,3.03,2.243,3.35,1.44,3.402,5.23,10.036,36.878,0.14462,1.872,1.569,0.083,1.9,1.925,56,2,2,0,0,0,2.85,7.58,6,2,1.08,0.89,0.97,0.103,18,0.205,998,1910,6.299,137.327,3510,1305.743885,200.8445404,18.9656921,4.921542362,3.840959844,28.52894669,8.257064971,6.497625119,0.347613767,0,1.157159555,0.698605335,0,0,0.118967057,0,0,0,0,0.119,0.348
La,57,3.772,3.772,12.144,1.95,2.47,1.06,1.032,2.07,1.8,1.39,2.98,1.877,2.42,1.34,3.08,5.596,11.097,19.25,0.47163,4.482,4.182,0.066,4.47,4.927,57,3,2,0,1,0,2.85,9.31,6,3,1.35,1.1,1.08,0.243,13,0.195,1193,3730,3.741,138.906,6146,138.8225126,22.63792087,20.48525319,44.85669153,39.89585715,30.6267107,9.00054732,7.168124161,0.401210193,0,1.324936637,0.824498396,0.141085068,0,0.132233063,0,0,0,0,0.132,0.141
Ce,58,3.62,3.62,5.99,1.85,2.47,1.05,1.1,2.04,1.63,1.37,2.88,1.715,2.4,1.23,4.5,5.489,10.889,20.176,0.65,4.399,4.139,0.057,4.32,5.934,58,3,2,0,1,1,2.85,10.8,6,3,1.1,1.12,1.06,0.239,11,0.192,1071,3699,3.478,140.116,6689,140.6763515,22.12485262,206.9252473,47.03530558,4.498284159,32.41258457,1.008744484,7.532199615,0.448548215,0.337442162,1.370160658,0.850110408,0.140550075,0,0.133974064,0,0,0,0,0.134,0.141
Pr,59,3.6725,3.6725,11.8354,1.85,2.47,1.04,0.99,2.03,1.76,1.38,2.92,1.828,2.39,1.2,4.48,5.439,10.587,21.736,0.962,3.698,3.713,0.072,3.7,4.777,59,3,2,0,0,3,2.85,7.75,6,3,1.1,1.13,1.07,0.306,13,0.193,1204,3785,3.456,140.908,6640,146.9381645,227.4264722,28.21832654,4.932996368,4.381162103,3.400397632,0.967030464,7.615883656,4.154229994,0.155138074,1.296106622,0.778046373,0,0,0.12446506,0,0,0,0,0.124,0.155
Nd,60,3.658,3.658,11.799,1.85,2.06,1.03,0.983,2.01,1.74,1.37,2.95,1.821,2.37,1.17,3.99,5.509,10.754,22.131,1.916,3.407,3.411,0.074,3.4,4.765,60,3,2,0,0,4,2.85,9.31,6,3,1.2,1.14,1.07,0.327,17,0.19,1294,3341,3.418,144.24,7010,1509.699685,236.6141536,224.3519237,51.16128756,4.609102213,35.75453216,10.0008958,7.967823825,0.445827286,0.179544086,1.334938241,0.798503383,0,0,0.134760065,0,0,0,0,0.135,0.18
Pm,61,3.654,3.654,3.654,1.85,2.05,1.02,0.97,1.99,1.73,1.35,2.9,1.81,2.35,1.13,3.99,5.569,10.941,22.256,0.129,3.12,2.6,0.08,3,4.747,61,3,2,0,0,5,2.85,9.4,6,3,1.15,1.15,1.07,0.35,15,0.19,1441,3000,3.36,144.91,7264,158.9803603,245.9719988,233.4558921,53.42933665,4.865242335,37.62555006,0.126763261,0.088150042,4.599002208,0.200164496,1.372265659,0.817702393,0,0,0.127053061,0,0,0,0,0.088,0.127
