,exp_gap,electron density,cell volume,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy_0,second ionization energy_1,third ionization energy_0,third ionization energy_1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,periodic number_0,periodic number_1,group number_0,group number_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
43,0.29,3.850383765,30.12686711,4.9508,9.054,4.9508,9.083,4.9508,11.601,1.8,1.15,1.54,1.03,0.83,0.41,1.19,0.5,1.46,1.2,1.75,1.4,2.32,1.77,1.43,1.04,2.09,1.285,7.441,9.785,15.08,21.268,32.042,30.93,2.028,2.362,1.849,0.936,0.05,0.056,2.03,2.25,3.715,3.489,82,34,4,6,5.65,6.95,12.29,8.29,6,4,4,6,1.92,2.54,2.33,2.55,1.55,2.48,3.034,2.727
44,1,3.252194875,28.28858772,3.6725,3.7598,3.6725,3.7598,11.8354,10.5475,1.85,1.15,2.47,1.14,1.04,0.46,0.99,0.58,2.03,1.19,1.828,1.39,2.39,1.86,1.2,1.15,4.48,1.415,5.439,9.844,10.587,18.699,21.736,28.444,3.698,3.146,3.713,0.332,0.072,0.288,3.7,2.96,4.777,4.658,59,33,3,5,2.85,6.3,7.75,7.45,6,4,3,5,1.1,2.27,1.13,2.18,1.07,2.2,3.456,2.152
45,0.66,3.282106929,33.51505675,3.6725,4.307,3.6725,4.307,11.8354,11.273,1.85,1.45,2.47,1.33,1.04,0.57,0.99,0.76,2.03,1.39,1.828,1.59,2.39,2.15,1.2,1.32,4.48,1.765,5.439,8.67,10.587,16.588,21.736,25.386,3.698,2.728,3.713,1.724,0.072,0.205,3.7,2.75,4.777,4.128,59,51,3,5,2.85,6.3,7.75,9.99,6,5,3,5,1.1,2.14,1.13,2.05,1.07,1.82,3.456,2.997
46,7.25,1.659358825,43.39025346,5.585,6.7265,5.585,4.6451,5.585,8.7023,2.35,1.1,2.65,0.94,1.49,0.37,1.52,0.39,2.2,1.2,2.546,1.17,4.9,1.6,1.43,1.01,4.1,1.2,4.191,11.855,27.373,21.871,40.134,36.119,0.841,1.164,0.787,0.317,0.023,0.06,0.85,1.22,0.969,1.629,37,35,1,7,2.2,7.6,4.98,9.03,5,4,1,7,0.8,2.83,0.82,2.96,0.89,2.74,9.284,3.277
47,8.29,1.437165395,37.57396344,5.585,6.2235,5.585,4.4561,5.585,8.1785,2.35,1,2.65,0.79,1.49,0.28,1.52,0.27,2.2,1.02,2.546,0.91,4.9,1.41,1.43,1,4.1,1.01,4.191,13.011,27.373,23.889,40.134,39.749,0.841,1.266,0.787,0.212,0.023,0.033,0.85,1.4,0.969,1.8,37,17,1,7,2.2,6.1,4.98,6.12,5,3,1,7,0.8,2.98,0.82,3.16,0.89,2.83,9.284,2.886
48,10.4,1.946960607,23.62656946,5.585,5.5,5.585,3.28,5.585,7.28,2.35,0.5,2.65,0.42,1.49,0.09,1.52,0.8,2.2,0.57,2.546,0.75,4.9,1.16,1.43,0.83,4.1,0.405,4.191,17.482,27.373,35.09,40.134,62.92,0.841,0.822,0.787,0.034,0.023,0.003,0.85,0.84,0.969,1.151,37,9,1,7,2.2,5.2,4.98,5.1,5,2,1,7,0.8,3.78,0.82,3.98,0.89,4.1,9.284,1.855
49,5.83,1.714986332,52.47855235,5.585,7.1802,5.585,4.7102,5.585,9.8103,2.35,1.4,2.65,1.15,1.49,0.46,1.52,0.95,2.2,1.39,2.546,1.39,4.9,1.69,1.43,1.17,4.1,1.585,4.191,10.487,27.373,19.198,40.134,33.114,0.841,1.111,0.787,0.433,0.023,0.081,0.85,1.11,0.969,1.519,37,53,1,7,2.2,7.6,4.98,11.61,5,5,1,7,0.8,2.76,0.82,2.66,0.89,2.21,9.284,4.263
50,2.6,2.428398706,11.53023181,3.309,3.861,3.309,3.861,5.2733,6.265,1.6,0.65,1.84,0.56,0.8,0.12,0.745,0.16,1.7,0.71,1.941,0.88,2.21,1.33,1.1,1.03,2.75,0.54,6.562,14.584,12.844,29.702,24.846,47.611,3.929,4.916,3.911,0.058,0.166,0.004,3.9,4.92,6.335,4.634,21,7,3,5,3,3.9,4.63,3.83,4,2,3,5,1.5,2.85,1.36,3.04,1.2,3.07,2.5,1.289
51,1.03,3.583820693,26.50802262,3.621,3.7598,3.621,3.7598,26.25,10.5475,1.85,1.15,2.38,1.14,1.01,0.46,0.958,0.58,1.98,1.19,1.802,1.39,2.33,1.86,1.11,1.15,4.14,1.415,5.649,9.844,11.107,18.699,23.764,28.444,2.15,3.146,1.714,0.332,0.088,0.288,2.14,2.96,4.716,4.658,62,33,3,5,2.85,6.3,8.01,7.45,6,4,3,5,1.2,2.27,1.17,2.18,1.07,2.2,3.318,2.152
52,1.09,3.139013247,24.53000161,3.621,11.45,3.621,5.503,26.25,11.261,1.85,1,2.38,0.98,1.01,0.36,0.958,0.44,1.98,1.07,1.802,1.28,2.33,1.54,1.11,1.09,4.14,1.24,5.649,10.522,11.107,19.791,23.764,30.285,2.15,3.272,1.714,0.54,0.088,0.007,2.14,3.43,4.716,5.405,62,15,3,5,2.85,4.8,8.01,4.89,6,3,3,5,1.2,2.32,1.17,2.19,1.07,2.06,3.318,1.899
53,0.22,3.42193366,22.7941298,3.621,10.437,3.621,12.845,26.25,24.369,1.85,1,2.38,0.88,1.01,0.32,0.958,0.37,1.98,1.05,1.802,1.27,2.33,1.44,1.11,1.03,4.14,1.1,5.649,10.396,11.107,23.41,23.764,34.954,2.15,2.9,1.714,0.1,0.088,0.018,2.14,2.85,4.716,4.128,62,16,3,6,2.85,5.45,8.01,5.48,6,3,3,6,1.2,2.65,1.17,2.58,1.07,2.44,3.318,2.552
54,0.59,3.571507154,31.63930384,3.621,4.307,3.621,4.307,26.25,11.273,1.85,1.45,2.38,1.33,1.01,0.57,0.958,0.76,1.98,1.39,1.802,1.59,2.33,2.15,1.11,1.32,4.14,1.765,5.649,8.67,11.107,16.588,23.764,25.386,2.15,2.728,1.714,1.724,0.088,0.205,2.14,2.75,4.716,4.128,62,51,3,5,2.85,6.3,8.01,9.99,6,5,3,5,1.2,2.14,1.17,2.05,1.07,1.82,3.318,2.997
