Ti2CO2-TM,dGH,dM0-O0,dM1-O0,AmM-O-M,bO-O,epz,Med,Ti2ed,Mmed,EFermi,CHM,VM,VMm,BM,FEIM,FEIMm,EAM,PM,RM
Pd-S1,0.14112112,1.966,1.967,100.8756667,3.018,-2.849562255,0.6557,0.6547,0.6521,-2.4008,10.038571,12,12,-1.961429,375.7,375.7,7.6,1.54,176
Pd-S2,0.099247,1.953,1.953,100.8693333,3.016,-2.976081543,0.6551,0.6545,0.602966667,-2.4008,10.035124,12,12,-1.964876,375.7,375.7,7.6,1.54,176
Pt-S0,0.03984849,2.168,1.932,96.392,3.176,-2.903555669,-3.678,0.4881,-0.9003,-2.4125,9.260574,10,11.33333333,-0.739426,870,540.4666667,205.3,2.28,177
Pt-S1,0.12602008,1.97,1.961,100.7433333,3.02,-2.968001606,0.4886,0.4871,0.511633333,-2.4125,10.04044,12,12,-1.95956,375.7,375.7,7.6,1.54,176
Pt-S2,0.20184017,1.952,1.952,100.6176667,3.018,-3.050662258,0.487,0.4896,0.475066667,-2.4125,10.043476,12,12,-1.956524,375.7,375.7,7.6,1.54,176
Re-S0,-0.1312155,2.144,1.956,96.44533333,2.989,-3.244000513,-2.4929,0.1981,-0.700133333,-2.2678,5.501142,7,10.33333333,-1.498858,760,503.8,14.5,1.9,188
Re-S1,-0.04230939,1.969,1.966,100.6173333,3.026,-3.079997519,0.1877,0.1845,0.2182,-2.2678,10.056516,12,12,-1.943484,375.7,375.7,7.6,1.54,176
Re-S2,0.01529681,1.945,1.945,99.408,3.015,-3.206219411,0.1945,0.1972,0.225933333,-2.2678,10.061375,12,12,-1.938625,375.7,375.7,7.6,1.54,176
Rh-S0,-0.64333312,2.167,1.916,96.808,3.116,-2.545976066,-2.227,0.7763,-0.224166667,-2.7248,14.201315,15,13,-0.798685,719.7,490.3666667,109.7,2.28,173
Rh-S1,-0.50381069,1.961,1.971,100.429,3.011,-2.663504059,0.7716,0.7758,0.8171,-2.7248,10.039406,12,12,-1.960594,375.7,375.7,7.6,1.54,176
Rh-S2,-0.45946523,1.954,1.954,100.716,3.017,-2.654496052,0.7726,0.7819,0.801966667,-2.7248,10.03702,12,12,-1.96298,375.7,375.7,7.6,1.54,176
Ru-S0,-0.48416922,2.173,1.922,96.82133333,3.072,-2.853848503,-2.0108,0.5553,-0.299766667,-2.5364,12.970114,14,12.66666667,-1.029886,710.2,487.2,101.3,2.2,178
Ru-S1,-0.35237507,1.962,1.973,100.8526667,3.02,-2.826146124,0.5561,0.5649,0.595733333,-2.5364,10.037846,12,12,-1.962154,375.7,375.7,7.6,1.54,176
Ru-S2,-0.29065927,1.946,1.946,100.2136667,3.02,-2.845865256,0.5549,0.5593,0.615766667,-2.5364,10.044116,12,12,-1.955884,375.7,375.7,7.6,1.54,176
Sc-S0,-0.48717301,2.04,1.94,100.2976667,3.285,-2.456288182,0.7123,1.1376,0.995566667,-2.8048,9.160754,11,11.66666667,-1.839246,633.1,461.5,18.1,1.36,184
Sc-S1,-0.41797811,1.971,1.959,100.4196667,3.006,-2.406768428,1.1379,1.1409,1.130733333,-2.8048,10.060178,12,12,-1.939822,375.7,375.7,7.6,1.54,176
Sc-S2,-0.45723971,1.966,1.965,100.56,2.999,-2.389676355,1.1388,1.1374,1.132666667,-2.8048,10.055843,12,12,-1.944157,375.7,375.7,7.6,1.54,176
Ta-S0,0.17030543,2.013,2.009,98.45,3.049,-3.580278422,-1.0723,0.2072,-0.219,-2.0139,8.652556,11,11.66666667,-2.347444,761,504.1333333,31,1.5,200
Ta-S1,0.04075588,1.975,1.962,99.67433333,3.012,-3.312144737,0.2077,0.2075,0.210333333,-2.0139,10.071061,12,12,-1.928939,375.7,375.7,7.6,1.54,176
Ta-S2,0.08450423,1.956,1.957,99.09033333,3.011,-3.359984616,0.2067,0.2049,0.239766667,-2.0139,10.06587,12,12,-1.93413,375.7,375.7,7.6,1.54,176
Ti-S0,0.10887018,1.965,1.966,100.0156667,3.012,-3.26250346,0.1413,0.1424,0.141566667,-2.1693,10.058074,12,12,-1.941926,375.7,375.7,7.6,1.54,176
Ti-S1,0.10887059,1.965,1.966,100.016,3.012,-3.262897903,0.1445,0.1427,0.1443,-2.1693,10.058188,12,12,-1.941812,375.7,375.7,7.6,1.54,176
Ti-S2,0.10887144,1.965,1.966,100.0166667,3.012,-3.261591519,0.1433,0.1419,0.142833333,-2.1693,10.058025,12,12,-1.941975,375.7,375.7,7.6,1.54,176
V-S0,-0.12643408,2.053,1.934,98.29033333,2.931,-3.335520008,-0.692,0.0047,-0.2276,-2.1141,11.258086,13,12.33333333,-1.741914,650.9,467.4333333,50.6,1.63,171
V-S1,0.01727684,1.961,1.971,100.401,3.017,-3.293161591,0.0046,0.0048,-0.001166667,-2.1141,10.043019,12,12,-1.956981,375.7,375.7,7.6,1.54,176
V-S2,0.05935475,1.956,1.957,99.985,3.014,-3.349115232,0.0063,0.0051,0.059033333,-2.1141,10.051671,12,12,-1.948329,375.7,375.7,7.6,1.54,176
W-S0,-0.02282339,2.085,1.978,97.10966667,2.976,-3.384396807,-2.0817,0.1938,-0.5637,-2.16,4.108722,6,10,-1.891278,770,507.1333333,78.6,2.36,193
W-S1,2.99E-05,1.972,1.963,100.2033333,3.019,-3.21844534,0.1921,0.1944,0.179833333,-2.16,10.063362,12,12,-1.936638,375.7,375.7,7.6,1.54,176
W-S2,0.07327152,1.95,1.95,99.17266667,3.012,-3.294901316,0.189,0.1956,0.2092,-2.16,10.063705,12,12,-1.936295,375.7,375.7,7.6,1.54,176
Y-S0,-0.55703464,2.133,1.947,100.5353333,3.585,-2.643533729,-1.5742,1.0737,0.190266667,-2.6938,9.019153,11,11.66666667,-1.980847,600,450.4666667,29.6,1.22,212
Y-S1,-0.42770457,1.986,1.958,100.5436667,3.02,-2.499642181,1.0738,1.074,1.087466667,-2.6938,10.066138,12,12,-1.933862,375.7,375.7,7.6,1.54,176
Y-S2,-0.48510709,1.96,1.96,100.4636667,2.993,-2.573743189,1.0718,1.0745,1.0331,-2.6938,10.064098,12,12,-1.935902,375.7,375.7,7.6,1.54,176
Zn-S0,-0.98170029,2.131,1.893,97.934,3.239,-2.260331179,-5.3875,0.9738,-1.146866667,-2.9992,10.868952,12,12,-1.131048,906.4,552.6,0,1.65,142
Zn-S1,-0.62031463,1.954,1.973,100.712,3,-2.465819161,0.9714,0.9746,1.016833333,-2.9992,10.033579,12,12,-1.966421,375.7,375.7,7.6,1.54,176
Zn-S2,-0.67713902,1.969,1.969,101.8206667,3.005,-2.368403361,0.9671,0.9687,1.008666667,-2.9992,10.024961,12,12,-1.975039,375.7,375.7,7.6,1.54,176
Zr-S0,0.23463941,2.047,1.985,99.818,3.285,-3.323412536,-0.5218,0.3019,0.025333333,-2.0968,9.743568,12,12,-2.256432,640.1,463.8333333,41.1,1.33,206
Zr-S1,0.10697383,1.98,1.956,100.157,3.013,-3.194299486,0.2988,0.3018,0.2834,-2.0968,10.064993,12,12,-1.935007,375.7,375.7,7.6,1.54,176
Zr-S2,0.09660171,1.96,1.96,99.75,3.004,-3.25030499,0.2988,0.2973,0.259266667,-2.0968,10.059382,12,12,-1.940618,375.7,375.7,7.6,1.54,176
