Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Ir-S2,-0.39167908,1.949,1.949,1.991,1.963,101.929,99.481,99.481,100.297,3.023,-2.714138508,0.8894,1.0578,0.8872,0.9448,-2.6676,7.098768,10.039903,10.039795,10.06707,10.04892267,12,12,1.098768,-1.960097,-1.960205,-1.93293,-1.951077333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Mn-S0,-0.09787272,2.029,1.925,1.925,1.959666667,100.509,98.329,98.328,99.05533333,2.937,-3.176333051,-1.1703,0.2976,0.2905,-0.194066667,-2.2036,7.054235,11.591435,10.042435,10.039055,10.55764167,13,12.33333333,1.054235,-1.408565,-1.957565,-1.960945,-1.775691667,717.3,375.7,375.7,489.5666667,0,5.066666667,1.55,1.543333333,161,171
Mn-S1,0.06921355,1.959,1.973,1.959,1.963666667,99.986,100.666,100.667,100.4396667,3.016,-3.291074175,0.2938,0.3988,0.2903,0.327633333,-2.2036,7.111099,10.038447,10.061786,10.042435,10.047556,12,12,1.111099,-1.961553,-1.938214,-1.957565,-1.952444,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Mn-S2,0.10628425,1.958,1.958,1.983,1.966333333,102.355,99.407,99.409,100.3903333,3.019,-3.227475163,0.2911,0.4583,0.2905,0.346633333,-2.2036,7.109189,10.042435,10.041461,10.069738,10.05121133,12,12,1.109189,-1.957565,-1.958539,-1.930262,-1.948788667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Mo-S0,-0.12551281,2.126,1.951,1.951,2.009333333,99.71,95.764,95.766,97.08,3.035,-3.313381759,-1.6313,0.0635,0.0626,-0.501733333,-2.1786,7.080123,12.216631,10.062569,10.050523,10.77657433,14,12.66666667,1.080123,-1.783369,-1.937431,-1.949477,-1.890092333,684.3,375.7,375.7,478.5666667,71.9,29.03333333,2.16,1.746666667,190,180.6666667
Mo-S1,-0.03494635,1.969,1.966,1.969,1.968,101.182,100.3,100.296,100.5926667,3.021,-3.323129325,0.0615,0.0038,0.0581,0.041133333,-2.1786,7.108918,10.054951,10.04415,10.062569,10.05389,12,12,1.108918,-1.945049,-1.95585,-1.937431,-1.94611,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Mo-S2,0.03566989,1.948,1.948,1.911,1.935666667,100.689,98.483,98.483,99.21833333,3.012,-3.395304963,0.0592,0.0676,0.0591,0.061966667,-2.1786,7.096135,10.062569,10.059185,10.076444,10.066066,12,12,1.096135,-1.937431,-1.940815,-1.923556,-1.933934,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Nb-S0,0.07412593,2.035,1.992,1.991,2.006,99.302,97.931,97.934,98.389,3.075,-3.375095526,-0.4313,0.2922,0.2914,0.050766667,-1.9802,7.119504,10.783883,10.063021,10.065867,10.304257,13,12.33333333,1.119504,-2.216117,-1.936979,-1.934133,-2.029076333,652.1,375.7,375.7,467.8333333,86.1,33.76666667,1.6,1.56,198,183.3333333
Nb-S1,0.03896,1.973,1.963,1.973,1.969666667,100.73,99.482,99.483,99.89833333,3.012,-3.187731641,0.2888,0.2489,0.294,0.277233333,-1.9802,7.110658,10.069065,10.055349,10.063021,10.06247833,12,12,1.110658,-1.930935,-1.944651,-1.936979,-1.937521667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Nb-S2,0.06695144,1.957,1.958,1.974,1.963,98.599,99.558,99.562,99.23966667,3.008,-3.330000436,0.2946,0.2917,0.2949,0.293733333,-1.9802,7.102052,10.063021,10.067322,10.065943,10.06542867,12,12,1.102052,-1.936979,-1.932678,-1.934057,-1.934571333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ni-S0,-0.34747101,2.053,1.906,1.906,1.955,101.193,97.721,97.72,98.878,2.971,-2.838835312,-2.6451,0.6122,0.6083,-0.474866667,-2.4644,7.016041,9.080727,10.040094,10.035182,9.718667667,10,11.33333333,1.016041,-0.919273,-1.959906,-1.964818,-1.614665667,737.1,375.7,375.7,496.1666667,112,42.4,1.91,1.663333333,149,167
Ni-S1,-0.08830282,1.96,1.969,1.96,1.963,99.608,100.995,100.997,100.5333333,3.012,-2.899331442,0.6116,0.6506,0.6112,0.624466667,-2.4644,7.110573,10.037565,10.049263,10.040094,10.04230733,12,12,1.110573,-1.962435,-1.950737,-1.959906,-1.957692667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ni-S2,-0.07776402,1.958,1.958,1.982,1.966,103.193,99.559,99.56,100.7706667,3.02,-2.858685388,0.6095,0.8706,0.6097,0.6966,-2.4644,7.108715,10.040094,10.030222,10.070372,10.046896,12,12,1.108715,-1.959906,-1.969778,-1.929628,-1.953104,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Os-S0,-0.3813331,2.165,1.942,1.941,2.016,99.96,95.015,95.016,96.66366667,3.017,-3.073083358,-2.9611,0.336,0.3383,-0.762266667,-2.4595,7.031385,6.881239,10.053562,10.049507,8.994769333,8,10.66666667,1.031385,-1.118761,-1.946438,-1.950493,-1.671897333,840,375.7,375.7,530.4666667,106.1,40.43333333,2.2,1.76,185,179
Os-S1,-0.27753513,1.965,1.972,1.965,1.967333333,101.268,100.444,100.442,100.718,3.026,-2.950153226,0.3415,0.4648,0.3352,0.3805,-2.4595,7.110005,10.043609,10.04952,10.053562,10.048897,12,12,1.110005,-1.956391,-1.95048,-1.946438,-1.951103,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Os-S2,-0.19652168,1.942,1.942,2.004,1.962666667,101.74,98.714,98.712,99.722,3.025,-3.018999795,0.335,0.5036,0.3334,0.390666667,-2.4595,7.096041,10.053562,10.05242,10.076636,10.06087267,12,12,1.096041,-1.946438,-1.94758,-1.923364,-1.939127333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Pd-S0,-0.12956499,2.17,1.914,1.914,1.999333333,101.681,94.396,94.396,96.82433333,3.206,-2.72699891,-3.7056,0.6543,0.6558,-0.7985,-2.4008,7.00281,9.269119,10.035124,10.024196,9.776146333,10,11.33333333,1.00281,-0.730881,-1.964876,-1.975804,-1.557187,804.4,375.7,375.7,518.6,53.7,22.96666667,2.2,1.76,169,173.6666667
Pd-S1,0.14112112,1.966,1.967,1.966,1.966333333,100.468,101.078,101.081,100.8756667,3.018,-2.849562255,0.6557,0.6459,0.6547,0.6521,-2.4008,7.114646,10.038571,10.052609,10.035124,10.04210133,12,12,1.114646,-1.961429,-1.947391,-1.964876,-1.957898667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
