VEC,G,delta_G,delta_G,delta_Xr,epilson,delta,Delta,y
4.545454545,59.58181818,0.538648152,0.222236347,0.032190643,0.944323052,0.018580553,0.068992135,2811
4.5,52.225,0.546344107,0.246092448,0.034039993,0.829787304,0.026650975,0.077273343,2715
4.727272727,65.90909091,0.564654177,0.219584249,0.032589213,1.037809501,0.018029488,0.089158942,3214
4.476190476,52.32380952,0.391740168,0.092451349,0.03770822,0.669522122,0.02267843,0.062610396,2692
4.545454545,55.65454545,0.452427062,0.14358327,0.037180342,0.73724068,0.022248707,0.069096841,3510
4.608695652,58.69565217,0.484855891,0.169102173,0.036661908,0.791804308,0.021551372,0.074718909,3614
4.25,43.525,0.188379085,0.019969113,0.032496154,0.591701109,0.025381263,0.044838962,1136
4.6,66.28,0.478973975,0.159813581,0.035971451,0.955167206,0.020955523,0.080974329,4110
4.25,44.675,0.177139661,0.015958068,0.05983908,1.12940749,0.02595131,0.066636942,2154
4.428571429,41.9,0.173393345,0.015063547,0.06284104,1.16557939,0.021574598,0.086140298,1975
4.375,54.5375,0.513228856,0.212047166,0.034039993,0.878905479,0.023060063,0.061995631,2532
4.25,47.4875,0.23953484,0.025736943,0.037519397,0.60976984,0.025563305,0.047027416,1143
4.666666667,61.48333333,0.502599275,0.179923448,0.036154952,0.835582901,0.020698139,0.079589198,3728
4.75,49.75,0.236744756,0.037271786,0.058703519,0.484662768,0.031615023,0.081121088,2162
4.75,60.925,0.61625164,0.265904739,0.034105752,0.922020519,0.023867833,0.106815779,4095
4.764705882,60.08823529,0.608731255,0.276765783,0.046957758,1.031774589,0.024141821,0.117739636,4739
4.777777778,59.34444444,0.601219997,0.271950759,0.05463724,1.112092338,0.024592286,0.126668398,4365
4.789473684,58.67894737,0.59377417,0.267241119,0.059764735,1.170204798,0.024770453,0.134038925,4566
4.8,58.08,0.586433012,0.262619029,0.063349314,1.211405315,0.024624584,0.140161531,4831
4.4,48.66,0.259342454,0.0348449,0.038242396,0.585713977,0.022795785,0.055136085,2121
5.166666667,80.86666667,0.570858121,0.158558798,0.052732043,0.501546535,0.022626457,0.064465729,3545
4.604651163,47.08837209,0.468154638,0.1939358,0.068264196,1.237535473,0.029437052,0.139473929,3268
4.666666667,50.57777778,0.53278699,0.243159381,0.066744593,1.232211194,0.028256374,0.140169325,3853
4.723404255,53.77021277,0.565491897,0.262103555,0.065322149,1.225142089,0.026849274,0.140410797,4602
4.867924528,61.90188679,0.59088456,0.248345267,0.061545062,1.194311038,0.022465766,0.139399373,3852
4.393939394,40.03333333,0.11993267,0.004645663,0.055088295,0.888184374,0.031211475,0.100924623,1840
4.441176471,42.55,0.357492384,0.111207914,0.054347172,0.916894637,0.03105179,0.104203017,2043
4.527777778,47.16388889,0.510814564,0.230471089,0.052948907,0.964001759,0.030094638,0.10950993,3273
4.605263158,51.29210526,0.570620496,0.275523711,0.051651662,0.999475288,0.028593306,0.113513489,3212
4.675,55.0075,0.596349439,0.286500897,0.05044405,1.02545562,0.026872118,0.116528218,3637
4.76744186,59.93255814,0.607226178,0.275792955,0.048779846,1.049927865,0.024242086,0.119668647,3670
4.847826087,64.21521739,0.603313897,0.253392507,0.047268622,1.060853883,0.021770196,0.121597264,4135
4.895833333,66.77291667,0.59695626,0.236903425,0.046335161,1.062422674,0.020255581,0.12238531,4030
4.5,41.2,0.122410495,0.003645195,0.070751668,1.24169845,0.030262486,0.137200445,2696
5.25,69.75,0.49096826,0.160271322,0.059879899,0.558530279,0.020240617,0.083422691,3856
5.25,78.5,0.621440001,0.269946854,0.061054139,0.580115837,0.019177817,0.077702585,3264
5,71.92,0.633679987,0.303789837,0.055715701,0.516902996,0.026102018,0.068904186,2931
5.454545455,90.40909091,0.508724601,0.102700267,0.070767312,0.534004759,0.02038234,0.089410387,5120
5.5,92.48333333,0.48191818,0.080268124,0.077849667,0.532964341,0.026606271,0.101473426,5443
4.5,48.33333333,0.238824908,0.03087396,0.062916392,1.11218705,0.026594524,0.09303335,4398
4.6,56.09,0.53854344,0.220066186,0.084989353,0.502934104,0.033232402,0.103504508,3158
4.25,44.625,0.353452566,0.075698358,0.064180504,0.124183153,0.025238913,0.01666065,3660
5,69.475,0.495616164,0.163149287,0.030155404,0.265739903,0.024686078,0.035003876,3055
5,78.225,0.62594173,0.273901985,0.045769114,0.268108836,0.023426322,0.030406464,2747
4.5,52.075,0.227827177,0.025615774,0.037284851,0.390785714,0.02568778,0.04620723,1418
5,66.9,0.452516265,0.130555947,0.089603365,0.466569604,0.04139412,0.113927199,3800
5.25,88.925,0.368998728,0.047042387,0.076891906,0.442014269,0.0340233,0.108936294,5072
4.5,58.725,0.667862674,0.311718382,0.065762615,0.286795191,0.026064582,0.032554593,3997
4.25,46.1875,0.236268633,0.030969822,0.038448554,0.60134837,0.033106014,0.061197494,1869
4.25,39,0.210248593,0.026559829,0.07171863,0.437247044,0.032939315,0.075227543,2603
4.444444444,47.47777778,0.530651825,0.226676506,0.079558783,0.512515378,0.035188647,0.097742158,3497
